,IP,Hosts file?
0,172.16.10.1,Successful
1,172.16.10.2,Successful
2,172.16.10.3,Successful
3,172.16.10.4,Successful
4,172.16.10.5,Successful
5,172.16.10.6,Failed
6,172.16.10.7,Failed
7,172.16.10.8,Failed
8,172.16.10.9,Failed
9,172.16.10.10,Failed
10,172.16.10.11,Failed
11,172.16.10.12,Failed
12,172.16.10.13,Failed
13,172.16.10.14,Failed
14,172.16.10.15,Failed
15,172.16.10.16,Failed
16,172.16.10.17,Failed
17,172.16.10.18,Failed
18,172.16.10.19,Failed
19,172.16.10.20,Failed
20,172.16.10.21,Failed
21,172.16.10.22,Failed
22,172.16.10.23,Failed
23,172.16.10.24,Failed
24,172.16.10.25,Failed
25,172.16.10.26,Failed
26,172.16.10.27,Failed
27,172.16.10.28,Failed
28,172.16.10.29,Failed
29,172.16.10.30,Failed
30,172.16.10.31,Failed
31,172.16.10.32,Failed
32,172.16.10.33,Failed
33,172.16.10.34,Failed
34,172.16.10.35,Failed
35,172.16.10.36,Failed
36,172.16.10.37,Failed
37,172.16.10.38,Failed
38,172.16.10.39,Failed
39,172.16.10.40,Failed
40,172.16.10.41,Failed
41,172.16.10.42,Failed
42,172.16.10.43,Failed
43,172.16.10.44,Failed
44,172.16.10.45,Failed
45,172.16.10.46,Failed
46,172.16.10.47,Failed
47,172.16.10.48,Failed
48,172.16.10.49,Failed
49,172.16.10.50,Successful
50,172.16.10.51,Successful
51,172.16.10.52,Successful
52,172.16.10.53,Successful
53,172.16.10.54,Successful
54,172.16.10.55,Successful
55,172.16.10.56,Successful
56,172.16.10.57,Successful
57,172.16.10.58,Successful
58,172.16.10.59,Successful
59,172.16.10.60,Successful
60,172.16.10.61,Successful
61,172.16.10.62,Successful
62,172.16.10.63,Successful
63,172.16.10.64,Successful
64,172.16.10.65,Successful
65,172.16.10.66,Successful
66,172.16.10.67,Successful
67,172.16.10.68,Successful
68,172.16.10.69,Successful
69,172.16.10.70,Successful
70,172.16.10.71,Successful
71,172.16.10.72,Successful
72,172.16.10.73,Successful
73,172.16.10.74,Successful
74,172.16.10.75,Successful
75,172.16.10.76,Successful
76,172.16.10.77,Successful
77,172.16.10.78,Successful
78,172.16.10.79,Successful
79,172.16.10.80,Successful
80,172.16.10.81,Successful
81,172.16.10.82,Successful
82,172.16.10.83,Successful
83,172.16.10.84,Successful
84,172.16.10.85,Successful
85,172.16.10.86,Successful
86,172.16.10.87,Successful
87,172.16.10.88,Successful
88,172.16.10.89,Successful
89,172.16.10.90,Successful
90,172.16.10.91,Successful
91,172.16.10.92,Successful
92,172.16.10.93,Successful
93,172.16.10.94,Successful
94,172.16.10.95,Successful
95,172.16.10.96,Successful
96,172.16.10.97,Successful
97,172.16.10.98,Successful
98,172.16.10.99,Successful
99,172.16.10.100,Successful
100,172.16.10.101,Successful
101,172.16.10.102,Successful
102,172.16.10.103,Successful
103,172.16.10.104,Successful
104,172.16.10.105,Successful
105,172.16.10.106,Successful
106,172.16.10.107,Successful
107,172.16.10.108,Successful
108,172.16.10.109,Successful
109,172.16.10.110,Successful
110,172.16.10.111,Successful
111,172.16.10.112,Successful
112,172.16.10.113,Successful
113,172.16.10.114,Successful
114,172.16.10.115,Successful
115,172.16.10.116,Successful
116,172.16.10.117,Successful
117,172.16.10.118,Successful
118,172.16.10.119,Successful
119,172.16.10.120,Successful
120,172.16.10.121,Successful
121,172.16.10.122,Successful
122,172.16.10.123,Successful
123,172.16.10.124,Successful
124,172.16.10.125,Successful
125,172.16.10.126,Successful
126,172.16.10.127,Successful
127,172.16.10.128,Successful
128,172.16.10.129,Successful
129,172.16.10.130,Successful
130,172.16.10.131,Successful
131,172.16.10.132,Successful
132,172.16.10.133,Successful
133,172.16.10.134,Successful
134,172.16.10.135,Successful
135,172.16.10.136,Successful
136,172.16.10.137,Successful
137,172.16.10.138,Successful
138,172.16.10.139,Successful
139,172.16.10.140,Successful
140,172.16.10.141,Successful
141,172.16.10.142,Successful
142,172.16.10.143,Successful
143,172.16.10.144,Successful
144,172.16.10.145,Successful
145,172.16.10.146,Successful
146,172.16.10.147,Successful
147,172.16.10.148,Successful
148,172.16.10.149,Successful
149,172.16.10.150,Successful
150,172.16.10.151,Successful
151,172.16.10.152,Successful
152,172.16.10.153,Successful
153,172.16.10.154,Successful
154,172.16.10.155,Successful
155,172.16.10.156,Successful
156,172.16.10.157,Successful
157,172.16.10.158,Successful
158,172.16.10.159,Successful
159,172.16.10.160,Successful
160,172.16.10.161,Successful
161,172.16.10.162,Successful
162,172.16.10.163,Successful
163,172.16.10.164,Successful
164,172.16.10.165,Successful
165,172.16.10.166,Successful
166,172.16.10.167,Successful
167,172.16.10.168,Successful
168,172.16.10.169,Successful
169,172.16.10.170,Successful
170,172.16.10.171,Successful
171,172.16.10.172,Failed
172,172.16.10.173,Failed
173,172.16.10.174,Failed
174,172.16.10.175,Failed
175,172.16.10.176,Failed
176,172.16.10.177,Failed
177,172.16.10.178,Failed
178,172.16.10.179,Failed
179,172.16.10.180,Failed
180,172.16.10.181,Failed
181,172.16.10.182,Failed
182,172.16.10.183,Failed
183,172.16.10.184,Failed
184,172.16.10.185,Failed
185,172.16.10.186,Failed
186,172.16.10.187,Failed
187,172.16.10.188,Failed
188,172.16.10.189,Failed
189,172.16.10.190,Failed
190,172.16.10.191,Failed
191,172.16.10.192,Failed
192,172.16.10.193,Failed
193,172.16.10.194,Failed
194,172.16.10.195,Failed
195,172.16.10.196,Failed
196,172.16.10.197,Failed
197,172.16.10.198,Failed
198,172.16.10.199,Failed
199,172.16.10.200,Successful
200,172.16.10.201,Successful
201,172.16.10.202,Successful
202,172.16.10.203,Successful
203,172.16.10.204,Successful
204,172.16.10.205,Successful
205,172.16.10.206,Successful
206,172.16.10.207,Successful
207,172.16.10.208,Successful
208,172.16.10.209,Successful
209,172.16.10.210,Successful
210,172.16.10.211,Successful
211,172.16.10.212,Successful
212,172.16.10.213,Successful
213,172.16.10.214,Successful
214,172.16.10.215,Successful
215,172.16.10.216,Successful
216,172.16.10.217,Failed
217,172.16.10.218,Failed
218,172.16.10.219,Failed
219,172.16.10.220,Failed
220,172.16.10.221,Failed
221,172.16.10.222,Failed
222,172.16.10.223,Failed
223,172.16.10.224,Failed
224,172.16.10.225,Failed
225,172.16.10.226,Failed
226,172.16.10.227,Failed
227,172.16.10.228,Failed
228,172.16.10.229,Failed
229,172.16.10.230,Failed
230,172.16.10.231,Failed
231,172.16.10.232,Failed
232,172.16.10.233,Failed
233,172.16.10.234,Failed
234,172.16.10.235,Failed
235,172.16.10.236,Successful
236,172.16.10.237,Successful
237,172.16.10.238,Successful
238,172.16.10.239,Successful
239,172.16.10.240,Successful
240,172.16.10.241,Failed
241,172.16.10.242,Failed
242,172.16.10.243,Failed
243,172.16.10.244,Failed
244,172.16.10.245,Failed
245,172.16.10.246,Failed
246,172.16.10.247,Failed
247,172.16.10.248,Failed
248,172.16.10.249,Failed
249,172.16.10.250,Failed
250,172.16.10.251,Failed
251,172.16.10.252,Failed
252,172.16.10.253,Failed
253,172.16.10.254,Failed
254,172.16.11.1,Successful
255,172.16.11.2,Successful
256,172.16.11.3,Successful
257,172.16.11.4,Failed
258,172.16.11.5,Failed
259,172.16.11.6,Failed
260,172.16.11.7,Failed
261,172.16.11.8,Failed
262,172.16.11.9,Failed
263,172.16.11.10,Failed
264,172.16.11.11,Failed
265,172.16.11.12,Failed
266,172.16.11.13,Failed
267,172.16.11.14,Failed
268,172.16.11.15,Failed
269,172.16.11.16,Failed
270,172.16.11.17,Failed
271,172.16.11.18,Failed
272,172.16.11.19,Failed
273,172.16.11.20,Failed
274,172.16.11.21,Failed
275,172.16.11.22,Failed
276,172.16.11.23,Failed
277,172.16.11.24,Failed
278,172.16.11.25,Failed
279,172.16.11.26,Failed
280,172.16.11.27,Failed
281,172.16.11.28,Failed
282,172.16.11.29,Failed
283,172.16.11.30,Failed
284,172.16.11.31,Failed
285,172.16.11.32,Failed
286,172.16.11.33,Failed
287,172.16.11.34,Failed
288,172.16.11.35,Failed
289,172.16.11.36,Failed
290,172.16.11.37,Failed
291,172.16.11.38,Failed
292,172.16.11.39,Failed
293,172.16.11.40,Failed
294,172.16.11.41,Failed
295,172.16.11.42,Failed
296,172.16.11.43,Failed
297,172.16.11.44,Failed
298,172.16.11.45,Failed
299,172.16.11.46,Failed
300,172.16.11.47,Failed
301,172.16.11.48,Failed
302,172.16.11.49,Failed
303,172.16.11.50,Failed
304,172.16.11.51,Failed
305,172.16.11.52,Failed
306,172.16.11.53,Failed
307,172.16.11.54,Failed
308,172.16.11.55,Failed
309,172.16.11.56,Failed
310,172.16.11.57,Failed
311,172.16.11.58,Failed
